word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
opium,1910,0,87,25,8.8248,True,"kinciiiial tromili in cirriiiii. yawn umw,' ellaa ow solis amass bumps awe is as opium im is— mitimag *my ingilbse should imo. bow good woomiiii cough cure is for daises. vono's ewes every kind of me "
opium,1910,0,87,30,8.9947,True,"... lasi* 11141161.=•• kinemacolor. t. warta ia wawa. monday neat a ml= george valbert. the is•mri6i cardiri. low 010tox ""weer six ceylons. • dean is as opium dr awl stab rftoomana"
opium,1910,0,87,31,9.0091,True,our er tertainers• till opium 101:18111. there is mears a peculiar fasciatatles about a sherlock 1101mio adventure. h jaunted. me military appeal against tem- porary exemption had...
opium,1910,0,87,32,9.0512,True,opium in ignorance. imibb and hui rost fin= at lrnum. sunni puglia! we amgen •1 whew. goo hanky. wit\ wigs to ..id la. rogiston onus of übe el odi oboe and...
opium,1910,0,87,35,9.1953,True,"r sale be early. be early. be early. haworth's wino os to pamitigo to to{ -gatctre•• opium 44, 44itb 12, peel"
opium,1910,0,87,36,9.2441,True,"ciiebwire merit. the section prize of the opium )led will bo mond on friday on the green the great eastern club, commencm ,5.30 p.m. aupgrois-e ,:-binienhead liii in this match gladstone pat up a f..."
opium,1910,0,87,40,9.348,True,"widest (trained) coltafflzla opium mi cimike itsibit. mu call at zooids:lmi oo focolpa of ?coward. uk 1111. a. arbert, 11.1.11.c1"" chiropodist, 11111 latium"" sprinuteld roi"" =altaist ...."
opium,1910,0,87,56,9.942,True,"...ughs, and all and chest. peps must cheap drug-laden lozenges, nor sensation which, being poured into to reach the lungs, but at the nerve system with opium n"
opium,1910,0,87,59,10.1879,True,"nun opium the bendo mil 011eteudieski ""if you will let no go, ii promise not to in admin."" said mtwara wheelar, 161 w-old youtlt, when chaagml it the sieskpow ..."
opium,1910,0,87,61,10.4367,True,"patents. i. it amps opium niancsisiter. i geo. davies and son, / i csar7'zred patent aoznti. as i established in als, • utz imp to new patent law. 'n. i price.' i casaba i haf..."
opium,1910,0,87,67,10.8594,True,"...wanted, net puppets. (to t.i 30110a..] sir. -ii tao a *earn* to uta to read tha outspoken kart in sour tessday's issue culler rho abate lam tba sante opium as ""foshan- at it is u"
opium,1910,0,87,68,10.9015,True,"pim opium l 13rassim ft pims. —sera it-smam. zegvauciana. wal imsi • free ettalfile, pstkittabb, motitotokkoopiait to a& lodes au rectobt of admit, by pbymokso..."
opium,1910,0,87,70,11.1923,True,"redeemed by the war: free pardon for an opium lieutenant chefl • menem who was esumneed le sigh cetus of jamb,hwy. yoliebrugh. in jima 1911, to three years' peed earthed' foe attempted fraud in e..."
opium,1910,0,87,71,11.205,True,"opium the palace t==.77i:77.::!iffis mkt every evulg m 7-11. 'satires saturday. sa 111111c11 byrn & c. i. sunlit pr e.sen t the 'essfi'ii, comedy se eteil ..."
opium,1910,0,87,72,11.333,True,"...r health. bma 00117011 t and dim/mlitt. siiiiiiical silts. its., a speciality. perfect fit gualiantend. miss hutson. aiiident millinidi collblllll2l, opium ns. blackpool. 11 c.all "
opium,1910,0,87,74,11.4535,True,"blacipoi il liallarvallal 011.11•tw ilhorkkai. • wixom, rik. m.d.) lin howl ur see der•lna .111 f opium ''amasib."". at nei ila.llintlre-014111 rom. wit= oaii,iii. en tuniday. january mom, am aril i•il"
opium,1910,0,87,75,11.471,True,...the cast iron salesman. lb* osenpalenry early closing of shops and the protion of the aele of sweets end tobacco' atter a remain hour bark teamed the opium of usefulness of the peany.in.the. s
opium,1910,0,87,76,11.4872,True,"our entertainers. till opium 110081. ----- lovers of ail drama of the drawing-room ""lopue aklatree aoppeaniellira arlytlitl'etew""ev a""try:l of harold nedsoo's entire landes l'oen..."
opium,1910,0,87,78,11.7767,True,"church notes. leoutributions to this opium yak be welcomed, and the mateo- will be glad to rveive, each mouth, copies of all the local (larch megazinee.) 1.. t is resorded in the christ (hurch..."
opium,1910,0,87,81,12.1465,True,"opium and cocaine. sentences for unlawful possession. at marlborough etreet (west london) police court, on monday, john r quet, 49, ,heatrical dresser, and..."
opium,1910,0,87,82,12.2654,True,"opium of cricket. lancashoe irestrue foams massed cm saturday fa what rimy be termed beautctut aestber. m bee of the &math, atmospheres wornness mm.- thmyf..."
