word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
tea,1840,0,2414,23,6.1966,True,"no. 879.] rick cloths, new and feaond-hand, for sale or hire. netting sad bunting for bait trees, teats, ware.* pram ascv, cart mawr he., re., always cm band st e. j. davis's, 44, bed anitthfield. lon"
tea,1840,0,2414,34,6.2785,True,"-. i 1 1 i 1 o'clock' ,t verb).- hold nd other ed steads,: saes, and (iderinin- rs 13°°1'. es, seere- )len es, hat"" enwivitin% s eiht 'afacl) •ons, klt articles. nt, wile° ron2 _saij ac, on ""e bthe ap"
tea,1840,0,2414,35,6.2829,True,"s ~r,~re~e siteam to crp, morne.—this day the lon orisinm 1110.1. steam-boats will commence mining from _uoit-bridge, and all intermediate parts of town, to the new p..."
tea,1840,0,2414,43,6.3311,True,"~'-~--~ t 'y. .`~ steam to cremorne.—this day the btcroriginal iron steam-boats will commence running from ndon-bridge, and all intermediate parts of town, to the new pier ..."
tea,1840,0,2414,48,6.3568,True,"• hun beds 1 fads and children's (xyll3. a very large areertatent el theme bedstead. in igoe eed taw, tra. fa. emelt, rod oat' teen fin each, kited wills merrell joiab mg parse eatideg, enthely in tra"
tea,1840,0,2414,69,6.4554,True,"•^1 -rr antr bt 7 /i \ 111:„ 419,45er • 7 (7.1..._11111 re, ati ,• 446011•1104*- -` --ws aai tili • ara _ _.,, at tea and inforauttion. lection. ost and mr m acgrego at, from therapidity with which ma"
tea,1840,0,2414,90,6.532,True,"r coat encouragement to smuggling. in approach- t a— of allicant from carthagena, the steamers pass :7,:t two smau islands called tabarca,"" which are iled, by fishermen and a small garrison, and the n"
tea,1840,0,2414,110,6.6184,True,"income without risk.' the london. genuine tea com- pany, established nov. 5, 1818, at 23, ludgate hill, are now filling up their listsoragents and persons desirous of such an appointment, by whic..."
tea,1840,0,2414,113,6.6247,True,"tea 104°04 'be osegap • g is i,o, t...-414 terse"
tea,1840,0,2414,123,6.646,True,"poetry. sonnets on may. of mouthy i-10 of th.e i; '4 to tears, iand farms; awl 0.0101 tp like a princess starts the trisrst inessiss, in draperies of man3-eolorired skald; and apiasa, minstrels of t i"
tea,1840,0,2414,126,6.659,True,".rl..illiiin mrost of the in a sail isb wi •tet kira, of tea ?qr. ma. kin bari:"
tea,1840,0,2414,160,6.7705,True,"voltne ""•---.--.... caa q, be„,,eri tea p f!urli• t, tarty 11* 1 4is te: eonvil w c. w, ii just aiwtati ratio hr pair 1-in. 4, t-14 pal `lt °ode 4andl ib4t,et the a fir get 11'04 th,e tier,..."
